80290	Greek		Heidelberg, Institut für Papyrologie O. G 161	O. Heid. 38	
80473	Greek		Heidelberg, Institut für Papyrologie O. G 162	O. Heid. 255	
80491	Greek		Heidelberg, Institut für Papyrologie O. G 163	O. Heid. 273	
79277	Greek		Heidelberg, Institut für Papyrologie O. G 164	O. Heid. 319	
80269	Greek		Heidelberg, Institut für Papyrologie O. G 165	O. Heid. 6	
80465	Greek		Heidelberg, Institut für Papyrologie O. G 166	O. Heid. 247	
80584	Greek		Heidelberg, Institut für Papyrologie O. G 167	O. Heid. 378	
80554	Greek		Heidelberg, Institut für Papyrologie O. G 168	O. Heid. 348	
80603	Greek		Heidelberg, Institut für Papyrologie O. G 169	O. Heid. 401	
80648	Greek		Heidelberg, Institut für Papyrologie O. G 17	O. Heid. 450	
80619	Greek		Heidelberg, Institut für Papyrologie O. G 170	O. Heid. 417	
80367	Greek		Heidelberg, Institut für Papyrologie O. G 171	O. Heid. 144	
79275	Greek		Heidelberg, Institut für Papyrologie O. G 172	O. Heid. 317	
48967	Greek		Heidelberg, Institut für Papyrologie O. G 173	O. Heid. 30	
80281	Greek		Heidelberg, Institut für Papyrologie O. G 174	O. Heid. 25	
80589	Greek		Heidelberg, Institut für Papyrologie O. G 175	O. Heid. 383	
80374	Greek		Heidelberg, Institut für Papyrologie O. G 176	O. Heid. 151	
80356	Greek		Heidelberg, Institut für Papyrologie O. G 177	O. Heid. 131	
80402	Greek		Heidelberg, Institut für Papyrologie O. G 178	O. Heid. 179	
80484	Greek		Heidelberg, Institut für Papyrologie O. G 179	O. Heid. 266	
80632	Greek		Heidelberg, Institut für Papyrologie O. G 18	O. Heid. 433	
80583	Greek		Heidelberg, Institut für Papyrologie O. G 180	O. Heid. 377	
80659	Greek		Heidelberg, Institut für Papyrologie O. G 181	O. Heid. 461	
80486	Greek		Heidelberg, Institut für Papyrologie O. G 182	O. Strasb. 2 906	
80488	Greek		Heidelberg, Institut für Papyrologie O. G 183	O. Heid. 270	
80660	Greek		Heidelberg, Institut für Papyrologie O. G 184	O. Heid. 462 descr.	
80626	Greek		Heidelberg, Institut für Papyrologie O. G 185	O. Heid. 426	
80462	Greek		Heidelberg, Institut für Papyrologie O. G 186	O. Heid. 244	
80586	Greek		Heidelberg, Institut für Papyrologie O. G 187	O. Heid. 380	
80593	Greek		Heidelberg, Institut für Papyrologie O. G 188 + Heidelberg, Institut für Papyrologie O. G 624	O. Heid. 387	
80607	Greek		Heidelberg, Institut für Papyrologie O. G 189	O. Heid. 405	
80496	Greek		Heidelberg, Institut für Papyrologie O. G 190	O. Heid. 278	
80670	Greek		Heidelberg, Institut für Papyrologie O. G 192	O. Heid. 472 descr.	
79273	Greek		Heidelberg, Institut für Papyrologie O. G 193 + Heidelberg, Institut für Papyrologie O. G 310 + Heidelberg, Institut für Papyrologie O. G 333	O. Heid. 315	
80451	Greek		Heidelberg, Institut für Papyrologie O. G 194	O. Heid. 232	
80335	Greek		Heidelberg, Institut für Papyrologie O. G 195 + Heidelberg, Institut für Papyrologie O. G 200	O. Heid. 107	o.heid;;107
80438	Greek		Heidelberg, Institut für Papyrologie O. G 196	O. Heid. 218	
80445	Greek		Heidelberg, Institut für Papyrologie O. G 197	O. Heid. 226	
80415	Greek		Heidelberg, Institut für Papyrologie O. G 198	O. Heid. 192	
80540	Greek		Heidelberg, Institut für Papyrologie O. G 199	O. Heid. 334	
80320	Greek		Heidelberg, Institut für Papyrologie O. G 2	O. Heid. 77	
78333	Greek		Heidelberg, Institut für Papyrologie O. G 20	O. Heid. 280	
80414	Greek		Heidelberg, Institut für Papyrologie O. G 201	O. Heid. 191	
78339	Greek		Heidelberg, Institut für Papyrologie O. G 202	O. Heid. 87	
79212	Greek		Heidelberg, Institut für Papyrologie O. G 203	O. Heid. 52	
80666	Greek		Heidelberg, Institut für Papyrologie O. G 204	O. Heid. 468	
80306	Greek		Heidelberg, Institut für Papyrologie O. G 205	O. Heid. 59	
80530	Greek		Heidelberg, Institut für Papyrologie O. G 206	O. Heid. 324	
80466	Greek		Heidelberg, Institut für Papyrologie O. G 207	O. Heid. 248	
80506	Greek		Heidelberg, Institut für Papyrologie O. G 208	O. Strasb. 2 881	
80656	Greek		Heidelberg, Institut für Papyrologie O. G 209	O. Heid. 458	
80590	Greek		Heidelberg, Institut für Papyrologie O. G 21	O. Heid. 384	
80526	Greek		Heidelberg, Institut für Papyrologie O. G 210	O. Heid. 311	
80291	Greek		Heidelberg, Institut für Papyrologie O. G 211	O. Heid. 39	
80395	Greek		Heidelberg, Institut für Papyrologie O. G 212	O. Heid. 172	
80425	Greek		Heidelberg, Institut für Papyrologie O. G 213	O. Heid. 203	
80292	Greek		Heidelberg, Institut für Papyrologie O. G 214	O. Heid. 40	
80495	Greek		Heidelberg, Institut für Papyrologie O. G 215	O. Heid. 277	
80564	Greek		Heidelberg, Institut für Papyrologie O. G 216	O. Heid. 358	
80671	Greek		Heidelberg, Institut für Papyrologie O. G 217	O. Heid. 473 descr.	
80565	Greek		Heidelberg, Institut für Papyrologie O. G 218	O. Heid. 359	
80566	Greek		Heidelberg, Institut für Papyrologie O. G 219	O. Heid. 360	
80591	Greek		Heidelberg, Institut für Papyrologie O. G 22	O. Heid. 385	
80429	Greek		Heidelberg, Institut für Papyrologie O. G 220	O. Heid. 207	
80672	Greek		Heidelberg, Institut für Papyrologie O. G 221	O. Heid. 474 descr.	
78342	Greek		Heidelberg, Institut für Papyrologie O. G 222	O. Heid. 91	
80524	Greek		Heidelberg, Institut für Papyrologie O. G 223	O. Heid. 308	
80323	Greek		Heidelberg, Institut für Papyrologie O. G 224	O. Heid. 83	
80329	Greek		Heidelberg, Institut für Papyrologie O. G 225	O. Heid. 97	
80426	Greek		Heidelberg, Institut für Papyrologie O. G 226	O. Heid. 204	
80711	Greek		Heidelberg, Institut für Papyrologie O. G 227	O. Heid. 513 descr.	
80535	Greek		Heidelberg, Institut für Papyrologie O. G 228 + Heidelberg, Institut für Papyrologie O. G 339 + Heidelberg, Institut für Papyrologie O. G 4 + Heidelberg, Institut für Papyrologie O. G 613 + Heidelberg, Institut für Papyrologie O. G 695 + Heidelberg, Institut für Papyrologie O. G 720	O. Heid. 329	
79213	Greek		Heidelberg, Institut für Papyrologie O. G 229	O. Heid. 53	
80337	Greek		Heidelberg, Institut für Papyrologie O. G 23	O. Heid. 110	o.heid;;110
80649	Greek		Heidelberg, Institut für Papyrologie O. G 230	O. Heid. 451	
80532	Greek		Heidelberg, Institut für Papyrologie O. G 231 + Heidelberg, Institut für Papyrologie O. G 313 + Heidelberg, Institut für Papyrologie O. G 340	O. Heid. 326	
80309	Greek		Heidelberg, Institut für Papyrologie O. G 232	O. Heid. 62	
80416	Greek		Heidelberg, Institut für Papyrologie O. G 233	O. Heid. 193	
80308	Greek		Heidelberg, Institut für Papyrologie O. G 234	O. Heid. 61	
80620	Greek		Heidelberg, Institut für Papyrologie O. G 235	O. Heid. 418	
80360	Greek		Heidelberg, Institut für Papyrologie O. G 236	O. Heid. 135	
80412	Greek		Heidelberg, Institut für Papyrologie O. G 237	O. Heid. 188	
80421	Greek		Heidelberg, Institut für Papyrologie O. G 238	O. Heid. 199	
80498	Greek		Heidelberg, Institut für Papyrologie O. G 239	O. Heid. 281	
80316	Greek		Heidelberg, Institut für Papyrologie O. G 24	O. Heid. 72	
80621	Greek		Heidelberg, Institut für Papyrologie O. G 240	O. Heid. 419	
80541	Greek		Heidelberg, Institut für Papyrologie O. G 241	O. Heid. 335	
80443	Greek		Heidelberg, Institut für Papyrologie O. G 242	O. Heid. 224	
80567	Greek		Heidelberg, Institut für Papyrologie O. G 243 + Heidelberg, Institut für Papyrologie O. G 315 + Heidelberg, Institut für Papyrologie O. G 672	O. Heid. 361	
80376	Greek		Heidelberg, Institut für Papyrologie O. G 244 + Heidelberg, Institut für Papyrologie O. G 364	O. Heid. 153	
80507	Greek		Heidelberg, Institut für Papyrologie O. G 245	O. Heid. 291	
80339	Greek		Heidelberg, Institut für Papyrologie O. G 246	O. Heid. 112	o.heid;;112
80444	Greek		Heidelberg, Institut für Papyrologie O. G 247	O. Heid. 225	
80608	Greek		Heidelberg, Institut für Papyrologie O. G 248	O. Heid. 406	
80324	Greek		Heidelberg, Institut für Papyrologie O. G 249	O. Heid. 84	
80442	Greek		Heidelberg, Institut für Papyrologie O. G 25 + Heidelberg, Institut für Papyrologie O. G 717	O. Heid. 223	
80330	Greek		Heidelberg, Institut für Papyrologie O. G 250	O. Heid. 98	
80673	Greek		Heidelberg, Institut für Papyrologie O. G 251	O. Heid. 475	
80304	Greek		Heidelberg, Institut für Papyrologie O. G 252	O. Heid. 54	
80661	Greek		Heidelberg, Institut für Papyrologie O. G 253	O. Heid. 463 descr.	
79216	Greek		Heidelberg, Institut für Papyrologie O. G 254	O. Heid. 57	
80327	Greek		Heidelberg, Institut für Papyrologie O. G 255	O. Heid. 90	
80411	Greek		Heidelberg, Institut für Papyrologie O. G 256 + Heidelberg, Institut für Papyrologie O. G 693 + Heidelberg, Institut für Papyrologie O. G 91	O. Heid. 187	
80606	Greek		Heidelberg, Institut für Papyrologie O. G 257 + Heidelberg, Institut für Papyrologie O. G 97	O. Heid. 404	
79271	Greek		Heidelberg, Institut für Papyrologie O. G 258	O. Heid. 314	
80657	Greek		Heidelberg, Institut für Papyrologie O. G 259	O. Heid. 459	
80499	Greek		Heidelberg, Institut für Papyrologie O. G 26	O. Heid. 282	
80639	Greek		Heidelberg, Institut für Papyrologie O. G 260	O. Heid. 441	
80518	Greek		Heidelberg, Institut für Papyrologie O. G 261	O. Heid. 302	
80700	Greek		Heidelberg, Institut für Papyrologie O. G 262	O. Heid. 502	
79278	Greek		Heidelberg, Institut für Papyrologie O. G 263	O. Heid. 320	
80642	Greek		Heidelberg, Institut für Papyrologie O. G 264	O. Heid. 444	
80321	Greek		Heidelberg, Institut für Papyrologie O. G 265	O. Heid. 79	
80400	Greek		Heidelberg, Institut für Papyrologie O. G 266	O. Heid. 177	
80471	Greek		Heidelberg, Institut für Papyrologie O. G 267	O. Heid. 253	
80476	Greek		Heidelberg, Institut für Papyrologie O. G 268	O. Heid. 258	
80296	Greek		Heidelberg, Institut für Papyrologie O. G 269	O. Heid. 44	
80519	Greek		Heidelberg, Institut für Papyrologie O. G 27	O. Heid. 303	
80674	Greek		Heidelberg, Institut für Papyrologie O. G 271	O. Heid. 476	
80568	Greek		Heidelberg, Institut für Papyrologie O. G 272	O. Heid. 362	
80542	Greek		Heidelberg, Institut für Papyrologie O. G 273	O. Heid. 336	
79214	Greek		Heidelberg, Institut für Papyrologie O. G 274 + Heidelberg, Institut für Papyrologie O. G 325 + Heidelberg, Institut für Papyrologie O. G 336	O. Heid. 55	
80559	Greek		Heidelberg, Institut für Papyrologie O. G 275	O. Heid. 353	
