name,type,arab,cop,dem,gr,hebr,ostr,syr usw.,to delete,tf_arab,,tf_cop,,tf_dem,,tf_gr,,tf_hebr,,tf_ostr,,"tf_syr,pah,lat,hier,aram",,label,type,length,length,original length,
Mehrfach,string,Mehrfach,Mehrfach,Mehrfach,Mehrfach,Mehrfach,Mehrfach,Mehrfach,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Mehrfach,string,,,mehrfach,0
MHig,string,MHig,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,MHig,string,64,64,m1hig,18
ML,,ML,ML,ML,ML,ML,ML,ML,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
ML2,,ML2,ML2,ML2,ML2,ML2,ML2,ML2,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Negativ,string,Negativ,Negativ,Negativ,Negativ,Negativ,Negativ,Negativ,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Negativ,string,,1024,negativ,240
Neu?,boolean,Neu?,Neu?,Neu?,Neu?,Neu?,Neu?,Neu?,,KEEP,boolean,KEEP,boolean,KEEP,boolean,KEEP,boolean,KEEP,boolean,KEEP,boolean,KEEP,boolean,Neu?,boolean,4,4,neu,1
Notiz,string,Notiz,Notiz,Notiz,Notiz,Notiz,Notiz,Notiz,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Notiz,string,128,128,notiz,44
Nummer,string,Nummer,Nummer,Nummer,Nummer,Nummer,Nummer,Nummer,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Nummer,string,32,32,nummer,6
O.Heid. Inv.,string,,,,,,O.Heid. Inv.,,,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,KEEP,string,INSERT,string,O.Heid. Inv.,string,32,32,o_heid_inv,8
Originaltitel,string,Originaltitel,Originaltitel,Originaltitel,Originaltitel,Originaltitel,Originaltitel,Originaltitel,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Originaltitel,text,,2048,originaltitel,429
