"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|8,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1285,1; 9 x 12","T","\N","271","G","\N","\N","\N","32","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|9,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|11,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","211 a 61-65; 215 c 86-2","T","\N","\N","G","\N","\N","\N","33","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|8,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|13,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1283 b 1; 211 b 67+69; 215 c 4+6","T","\N","279","G","\N","\N","\N","34","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|12,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|8,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1288 a 1; 211 b 71+73; c 88+2; 215 c 8; d 10","T","\N","\N","G","\N","\N","\N","35","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|11,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|6,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","211 c 4+6; 215 d 12+14","T","\N","\N","G","\N","\N","\N","36","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|6,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|10,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1283 b 2; 211 c 8+10; 215 d 16+18","T","\N","276","G","\N","\N","\N","37","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|8,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","211 d 12+14; 215 d 20; e 22","T","\N","\N","G","\N","\N","\N","38","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","3","F","\N","\N","\N","\N","\N","|9,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|8,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","1283 c 1; 211 d 16+18; 215 e 24+26","T","\N","283","G","\N","\N","\N","39","\N","\N","\N","\N","\N","\N","\N","P.Heid.","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|7,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","211 d 20+22; e 28+30; 215 e 28+30","T","\N","\N","G","\N","\N","\N","40","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|6,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|6,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","211 e 24+26","T","\N","\N","G","\N","\N","\N","41","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
